study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	submitted_md5	submitted_ftp	sample_alias
PRJEB57967	SAMEA112182036	ERX10072271	ERR10558668	447426	human oral metagenome	e7696feebbd246ab4cf0cf6915c373ba;c3a99b75412021c7c43e854f9954e9fd	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558668/SJ1057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558668/SJ1057_2.fastq.gz	SJ1057
PRJEB57967	SAMEA112182187	ERX10072273	ERR10558670	447426	human oral metagenome	df318c569efcb1d72f6820697133ce94;462ac8196f36a8fd0d692ffccb6e527d	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558670/SJ1059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558670/SJ1059_2.fastq.gz	SJ1059
PRJEB57967	SAMEA112182147	ERX10072276	ERR10558673	447426	human oral metagenome	d8f79085f12f0f406cc1e8c771cae416;89215d071764c9ae29cb31b3036e30c6	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558673/SJ1062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558673/SJ1062_2.fastq.gz	SJ1062
PRJEB57967	SAMEA112182027	ERX10072278	ERR10558675	447426	human oral metagenome	f651ed5cd76b160ba50e390fe979398e;19e2a6f6e5ff3a3de9659c3ab2ffb154	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558675/SJ1064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558675/SJ1064_2.fastq.gz	SJ1064
PRJEB57967	SAMEA112182086	ERX10072281	ERR10558678	447426	human oral metagenome	ea3e16f1ef8d7b62d4555689fb427cc0;5760b529873fd07193b24a20de098654	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558678/SJ1067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558678/SJ1067_2.fastq.gz	SJ1067
PRJEB57967	SAMEA112182016	ERX10072286	ERR10558683	447426	human oral metagenome	ade1c4bb4b4dfbb05293597f44b1182e;495dfab1259da1a9ab487d5f7e031f6c	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558683/SJ1072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558683/SJ1072_2.fastq.gz	SJ1072
PRJEB57967	SAMEA112182154	ERX10072304	ERR10558701	447426	human oral metagenome	d92f72ce248b16ba489e2a23a495215a;16a027d0ba7aad0887a88573bb2378b1	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558701/SJ1090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558701/SJ1090_2.fastq.gz	SJ1090
PRJEB57967	SAMEA112181928	ERX10072308	ERR10558705	447426	human oral metagenome	e7639e0fad84e78b971d462035a6bda1;b4040d92200fc06b568b0864795d15ca	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558705/SJ1094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558705/SJ1094_2.fastq.gz	SJ1094
PRJEB57967	SAMEA112181930	ERX10072310	ERR10558707	447426	human oral metagenome	64d38e2ad4c2a4868d46f9f6c6997837;4d366a47e1f27a71ab27d6155673c98f	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558707/SJ1096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558707/SJ1096_2.fastq.gz	SJ1096
PRJEB57967	SAMEA112181909	ERX10072313	ERR10558710	447426	human oral metagenome	73e0f02ef5004a58bbf6651d8094369e;bd70ce0f2d5700f95e08f330c7a66615	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558710/SJ1099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558710/SJ1099_2.fastq.gz	SJ1099
PRJEB57967	SAMEA112181912	ERX10072317	ERR10558714	447426	human oral metagenome	75765aa2b4d968b530389e50049ceda6;3946102a8ed78542d2c9a0bf72420a4c	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558714/SJ1103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558714/SJ1103_2.fastq.gz	SJ1103
PRJEB57967	SAMEA112182307	ERX10072319	ERR10558716	447426	human oral metagenome	1795081717fd2ce9d7f7bb3cd5bb7216;6cd4bd5c40034e679fb76b2fedae9842	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558716/SJ1105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558716/SJ1105_2.fastq.gz	SJ1105
PRJEB57967	SAMEA112182210	ERX10072320	ERR10558717	447426	human oral metagenome	12430948aaa06ba11104c662fa7d3f77;1acc05440542d985148b082f934ea88f	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558717/SJ1106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558717/SJ1106_2.fastq.gz	SJ1106
PRJEB57967	SAMEA112182193	ERX10072321	ERR10558718	447426	human oral metagenome	3142737b6fe1299849c0a1405ac00ded;3f5aec6a4a8f19f2135577e16adb300f	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558718/SJ1107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558718/SJ1107_2.fastq.gz	SJ1107
PRJEB57967	SAMEA112181982	ERX10072324	ERR10558721	447426	human oral metagenome	6ad5133acf206d0f05469ad7e2f76d69;f92604cae24be3b0de75e6c739622d93	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558721/SJ1110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558721/SJ1110_2.fastq.gz	SJ1110
PRJEB57967	SAMEA112181921	ERX10072327	ERR10558724	447426	human oral metagenome	1769e15eda820edc5712babce37cfcc6;b3c24830d845e6c418333d9e9e702b2f	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558724/SJ1113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558724/SJ1113_2.fastq.gz	SJ1113
PRJEB57967	SAMEA112181933	ERX10072330	ERR10558727	447426	human oral metagenome	5499fd72baa2ba23f66d8190e3bb5358;b79fe94676f581340789b8179912f2a7	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558727/SJ1116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558727/SJ1116_2.fastq.gz	SJ1116
PRJEB57967	SAMEA112182030	ERX10072333	ERR10558730	447426	human oral metagenome	58202594e9751a1628767d843a19ff9a;d6e7bc29bbafc8313cf4d12ce0e9c1f8	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558730/SJ1119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558730/SJ1119_2.fastq.gz	SJ1119
PRJEB57967	SAMEA112181941	ERX10072334	ERR10558731	447426	human oral metagenome	5c1508157971aa1056b8e17bb5877c7d;e34a192bbce75e8ce3b31711e84e1139	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558731/SJ1120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558731/SJ1120_2.fastq.gz	SJ1120
PRJEB57967	SAMEA112181935	ERX10072338	ERR10558735	447426	human oral metagenome	4f0e13bfa7f6f86e60c7d37cdf659655;bf3886f86823373d3fc3e2a9f0ba2ee3	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558735/SJ1124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558735/SJ1124_2.fastq.gz	SJ1124
PRJEB57967	SAMEA112182028	ERX10072340	ERR10558737	447426	human oral metagenome	f9ec5f673f896d64175404d88aaf8451;5f5c4430b724b85973fee855000be6f8	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558737/SJ1126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558737/SJ1126_2.fastq.gz	SJ1126
PRJEB57967	SAMEA112182288	ERX10072344	ERR10558741	447426	human oral metagenome	98954292989ea47f09b0e1ff0142530c;5c1baf7b7e887c1a355ae6a0d855bda4	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558741/SJ1130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558741/SJ1130_2.fastq.gz	SJ1130
PRJEB57967	SAMEA112182261	ERX10072345	ERR10558742	447426	human oral metagenome	caae0ec33f546ca25c1290e803e6b6b9;7f0759d43ff943a7fef95f2e3eb6ccc2	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558742/SJ1131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558742/SJ1131_2.fastq.gz	SJ1131
PRJEB57967	SAMEA112182128	ERX10072348	ERR10558745	447426	human oral metagenome	f2d257e254612d2ba0fec538177c5ca3;ccb02c3786a95e70150475acdef3f6c5	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558745/SJ1134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558745/SJ1134_2.fastq.gz	SJ1134
PRJEB57967	SAMEA112181979	ERX10072358	ERR10558755	447426	human oral metagenome	e354846b3628703c50b05cc419e5661b;4fae2e781aa235f682ae25dcd709b7dd	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558755/SJ1144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558755/SJ1144_2.fastq.gz	SJ1144
PRJEB57967	SAMEA112181977	ERX10072359	ERR10558756	447426	human oral metagenome	8bf610054c8253cf3f1d3c8fe2ee3b11;47938d001e94b45f6c66e381f3b5fa08	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558756/SJ1145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558756/SJ1145_2.fastq.gz	SJ1145
PRJEB57967	SAMEA112182225	ERX10072360	ERR10558757	447426	human oral metagenome	46452e21d06150b4088fa905a36aedf8;11740462d225bcfbb3a5870cbb8a5928	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558757/SJ1146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558757/SJ1146_2.fastq.gz	SJ1146
PRJEB57967	SAMEA112181937	ERX10072363	ERR10558760	447426	human oral metagenome	342fe369230ea045910b7c41b212a4d1;d1eca18e6a4ef15f3b73464a077db912	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558760/SJ1149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558760/SJ1149_2.fastq.gz	SJ1149
PRJEB57967	SAMEA112182037	ERX10072365	ERR10558762	447426	human oral metagenome	756c8735931fc778a7592fecc61424f9;aa9b0b705c03070136d6818bb2bfd995	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558762/SJ1151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558762/SJ1151_2.fastq.gz	SJ1151
PRJEB57967	SAMEA112181983	ERX10072370	ERR10558767	447426	human oral metagenome	8a24e6dd5d575ee09dbc8093d4a006e2;76447dbf525243d736e19ec14356e1f0	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558767/SJ1156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558767/SJ1156_2.fastq.gz	SJ1156
PRJEB57967	SAMEA112182249	ERX10072372	ERR10558769	447426	human oral metagenome	2f3deb88eec98f7b0936be9a6c130498;e17d1ef0b4735f81d83099e0828a9e89	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558769/SJ1159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558769/SJ1159_2.fastq.gz	SJ1159
PRJEB57967	SAMEA112182088	ERX10072374	ERR10558771	447426	human oral metagenome	43770a30c877274445e176d93d631728;fa18281cc2f09dcfd4ef9837f996f024	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558771/SJ1161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558771/SJ1161_2.fastq.gz	SJ1161
PRJEB57967	SAMEA112182591	ERX10072386	ERR10558783	447426	human oral metagenome	2a2e26f22d019895d7e4209b65bc0a69;ff04531423f8a2cfef249e9ef69821be	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558783/SJ1173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558783/SJ1173_2.fastq.gz	SJ1173
PRJEB57967	SAMEA112182282	ERX10072388	ERR10558785	447426	human oral metagenome	74dc2dbf8c60e54546bfa88d9d298f5c;b7ac5c78009dd6baa5a9ff248cb3509f	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558785/SJ1175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558785/SJ1175_2.fastq.gz	SJ1175
PRJEB57967	SAMEA112182454	ERX10072390	ERR10558787	447426	human oral metagenome	a4520f2b5d3e3a26b399f180e3a4939b;a38be17f7e924d4fcb97572f5e5a6389	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558787/SJ1177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558787/SJ1177_2.fastq.gz	SJ1177
PRJEB57967	SAMEA112182599	ERX10072392	ERR10558789	447426	human oral metagenome	9b12bbeff83998490c9f27a60d1be9c4;a1f86ebd1eea2e65f816c7f70c93da83	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558789/SJ1179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558789/SJ1179_2.fastq.gz	SJ1179
PRJEB57967	SAMEA112182075	ERX10072393	ERR10558790	447426	human oral metagenome	61a96089ee445f032d97ce2647a57e63;193ee9a85d6354f828bbdae0bcadfe37	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558790/SJ1180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558790/SJ1180_2.fastq.gz	SJ1180
PRJEB57967	SAMEA112182035	ERX10072399	ERR10558796	447426	human oral metagenome	6e8c1de3c1e42b10e41f9d25aa184109;ba2606790b86c38162ebcdc926c54565	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558796/SJ1186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558796/SJ1186_2.fastq.gz	SJ1186
PRJEB57967	SAMEA112182097	ERX10072400	ERR10558797	447426	human oral metagenome	f99c9347dbef9f44d326669cc7808857;c7c6b5426c980d4fc8798da4d5eb133c	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558797/SJ1187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558797/SJ1187_2.fastq.gz	SJ1187
PRJEB57967	SAMEA112182561	ERX10072405	ERR10558802	447426	human oral metagenome	3338001244cba30f4f833c523f1819d5;9eae928884aa6a29e660df28b651fd3a	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558802/SJ1192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558802/SJ1192_2.fastq.gz	SJ1192
PRJEB57967	SAMEA112182006	ERX10072409	ERR10558806	447426	human oral metagenome	7585d1a2ebd564e879649fc97c5692cf;92f7fb8ad31f7bf70bf1e867309131c8	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558806/SJ1196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558806/SJ1196_2.fastq.gz	SJ1196
PRJEB57967	SAMEA112181969	ERX10072415	ERR10558812	447426	human oral metagenome	7ccb3c6a79dde82594b35f514f4b893e;a2bac1e4331ab9f577be6ee177f8d220	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558812/SJ1202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558812/SJ1202_2.fastq.gz	SJ1202
PRJEB57967	SAMEA112182442	ERX10072418	ERR10558815	447426	human oral metagenome	b7d934735ddaad4886572740e22df633;7db23f54e67a2ecee618f0faf58bcd6c	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558815/SJ1205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558815/SJ1205_2.fastq.gz	SJ1205
PRJEB57967	SAMEA112182214	ERX10072420	ERR10558817	447426	human oral metagenome	332d50568f69c84e651dacfdb5b2236f;a271655da088c1f51d38ed1faad8a716	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558817/SJ1207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558817/SJ1207_2.fastq.gz	SJ1207
PRJEB57967	SAMEA112182134	ERX10072422	ERR10558819	447426	human oral metagenome	f9277311aa3a47c66c41483601edcd23;aca257c57ba6bf53acc2827e88da26f6	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558819/SJ1209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558819/SJ1209_2.fastq.gz	SJ1209
PRJEB57967	SAMEA112182278	ERX10072423	ERR10558820	447426	human oral metagenome	b3eca8a18e5ee976c5cbbe93855e6a2e;92a91e78842aa13c5163ab6ad5ebf822	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558820/SJ1210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558820/SJ1210_2.fastq.gz	SJ1210
PRJEB57967	SAMEA112182369	ERX10072426	ERR10558823	447426	human oral metagenome	593129225a6d692fe209b35fb170be23;7c37fb114a46a83b30c7a80415747529	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558823/SJ1214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558823/SJ1214_2.fastq.gz	SJ1214
PRJEB57967	SAMEA112182315	ERX10072430	ERR10558827	447426	human oral metagenome	4cf9775867ffda67cef2887a829335f7;be8d0386ed5f76f90ffa00d8dd1995aa	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558827/SJ1218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558827/SJ1218_2.fastq.gz	SJ1218
PRJEB57967	SAMEA112181997	ERX10072432	ERR10558829	447426	human oral metagenome	816a70cd05a5ab12399d42611f6c0751;5bd3333614bbeec1547707e0675b9c5d	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558829/SJ1220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558829/SJ1220_2.fastq.gz	SJ1220
PRJEB57967	SAMEA112182576	ERX10072433	ERR10558830	447426	human oral metagenome	8cb18e7e711e06e68efdd0fe629a0b08;3583e17f46369c665a639986083e1319	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558830/SJ1221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558830/SJ1221_2.fastq.gz	SJ1221
PRJEB57967	SAMEA112182351	ERX10072447	ERR10558844	447426	human oral metagenome	364aaeee2a697234ca4a21abe92db9eb;10c9556e0b3ad53afb7e7a1de9c196c7	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558844/SJ1235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558844/SJ1235_2.fastq.gz	SJ1235
PRJEB57967	SAMEA112182556	ERX10072450	ERR10558847	447426	human oral metagenome	2c67ead103134830a2c647e5ed2cf46e;d1f9aacc431dbb0a2b00727dfd59f0ac	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558847/SJ1238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558847/SJ1238_2.fastq.gz	SJ1238
PRJEB57967	SAMEA112182174	ERX10072458	ERR10558855	447426	human oral metagenome	c9ce8f37d7d8bd7d27f27c9d33b1e733;bed9a1685646d39c4d43762cba4b16b5	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558855/SJ1246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558855/SJ1246_2.fastq.gz	SJ1246
PRJEB57967	SAMEA112181949	ERX10072460	ERR10558857	447426	human oral metagenome	7ff4ccac8145946d70395f4733ca85a9;b575091b388d70dc8fee9fb0ca272d40	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558857/SJ1248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558857/SJ1248_2.fastq.gz	SJ1248
PRJEB57967	SAMEA112182096	ERX10072464	ERR10558861	447426	human oral metagenome	a52e97b09991b806db317df581622e65;394bce41509ee0dcdd801ffdb69d63c5	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558861/SJ1252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558861/SJ1252_2.fastq.gz	SJ1252
PRJEB57967	SAMEA112182578	ERX10072465	ERR10558862	447426	human oral metagenome	81cc4e82649c67bb7fe85c9473ffc4de;2257711b5ec94ab2a309d6dd7aaf188a	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558862/SJ1253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558862/SJ1253_2.fastq.gz	SJ1253
PRJEB57967	SAMEA112182482	ERX10072472	ERR10558869	447426	human oral metagenome	086ae56849f03d2bb576289cdcc3667a;6dddd24741718aefea216231b0266954	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558869/SJ1261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558869/SJ1261_2.fastq.gz	SJ1261
PRJEB57967	SAMEA112182579	ERX10072480	ERR10558877	447426	human oral metagenome	d7aef8dede71d733eabe67c26cefd526;6d7bf923f36c50620db21d2671b7930b	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558877/SJ1269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558877/SJ1269_2.fastq.gz	SJ1269
