study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJDB4107	SAMD00036097	DRX037620	DRR041986	447426	human oral metagenome	64ab84c241cba2c06abf0ec6719d87c1	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041986/DRR041986.fastq.gz	SAMD00036097
PRJDB4107	SAMD00036101	DRX037624	DRR041990	447426	human oral metagenome	4fead99749cd41177f71c0502355f71e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041990/DRR041990.fastq.gz	SAMD00036101
PRJDB4107	SAMD00036102	DRX037625	DRR041991	447426	human oral metagenome	8e19eb7db3ab99270a1bcbb04825f5f0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041991/DRR041991.fastq.gz	SAMD00036102
PRJDB4107	SAMD00036104	DRX037627	DRR041993	447426	human oral metagenome	a832da6d746c80d08d40d5184d9620e3	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041993/DRR041993.fastq.gz	SAMD00036104
PRJDB4107	SAMD00036110	DRX037633	DRR041999	447426	human oral metagenome	c9ac3764a6513c3d3e7c3c5f23f18893	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041999/DRR041999.fastq.gz	SAMD00036110
PRJDB4107	SAMD00036115	DRX037638	DRR042004	447426	human oral metagenome	10feea839d69cf07b866435065ff90f3	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042004/DRR042004.fastq.gz	SAMD00036115
PRJDB4107	SAMD00036120	DRX037643	DRR042009	447426	human oral metagenome	606b7ecc0a7aff10d7f917254aa724b4	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042009/DRR042009.fastq.gz	SAMD00036120
PRJDB4107	SAMD00036122	DRX037645	DRR042011	447426	human oral metagenome	50220e4101cea650b809a998759e0ab0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042011/DRR042011.fastq.gz	SAMD00036122
PRJDB4107	SAMD00036133	DRX037656	DRR042022	447426	human oral metagenome	bc254fdb62243cc41e4894629faaf989	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042022/DRR042022.fastq.gz	SAMD00036133
PRJDB4107	SAMD00036136	DRX037659	DRR042025	447426	human oral metagenome	18611498aec3977c05fe74cdcafdd0f0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042025/DRR042025.fastq.gz	SAMD00036136
PRJDB4107	SAMD00036139	DRX037662	DRR042028	447426	human oral metagenome	fbeb856bd707a167cf1fe2db7e19164a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042028/DRR042028.fastq.gz	SAMD00036139
PRJDB4107	SAMD00036142	DRX037665	DRR042031	447426	human oral metagenome	2c9ec85731c3ab6d84346eee83e53b52	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042031/DRR042031.fastq.gz	SAMD00036142
PRJDB4107	SAMD00036143	DRX037666	DRR042032	447426	human oral metagenome	d3d4af43808acd0cc98bcce4e441507c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042032/DRR042032.fastq.gz	SAMD00036143
PRJDB4107	SAMD00036144	DRX037667	DRR042033	447426	human oral metagenome	0fd31afe644410c62c41ec835362a420	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042033/DRR042033.fastq.gz	SAMD00036144
PRJDB4107	SAMD00036798	DRX038338	DRR042705	447426	human oral metagenome	0ba2865e5ed539d6782e95e869b28efc	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042705/DRR042705.fastq.gz	SAMD00036798
PRJDB4107	SAMD00036799	DRX038339	DRR042706	447426	human oral metagenome	a6645a6c3f206e897424272e05a3aba9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042706/DRR042706.fastq.gz	SAMD00036799
PRJDB4107	SAMD00036802	DRX038342	DRR042709	447426	human oral metagenome	9913a32a3138f2bbb3d11984d94c97b4	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042709/DRR042709.fastq.gz	SAMD00036802
PRJDB4107	SAMD00036805	DRX038345	DRR042712	447426	human oral metagenome	26948c1e97d5e0fe72a7142082f50023	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042712/DRR042712.fastq.gz	SAMD00036805
PRJDB4107	SAMD00036806	DRX038346	DRR042713	447426	human oral metagenome	bea155e3df7424a27cf046b778a155a6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042713/DRR042713.fastq.gz	SAMD00036806
PRJDB4107	SAMD00036807	DRX038347	DRR042714	447426	human oral metagenome	e88dfd49cc7aeff46cf2cbbd26d41f9c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042714/DRR042714.fastq.gz	SAMD00036807
PRJDB4107	SAMD00036809	DRX038349	DRR042716	447426	human oral metagenome	3653a08f58b20a4aa64e8a64794210d6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042716/DRR042716.fastq.gz	SAMD00036809
PRJDB4107	SAMD00036810	DRX038350	DRR042717	447426	human oral metagenome	46154f053f9746dd4677c47aff017020	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042717/DRR042717.fastq.gz	SAMD00036810
PRJDB4107	SAMD00036811	DRX038351	DRR042718	447426	human oral metagenome	3a4c1a4e81af627ed13f481498decd48	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042718/DRR042718.fastq.gz	SAMD00036811
PRJDB4107	SAMD00036812	DRX038352	DRR042719	447426	human oral metagenome	dfdc1fa06509e4bf72d80ef4e465d268	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042719/DRR042719.fastq.gz	SAMD00036812
PRJDB4107	SAMD00036813	DRX038353	DRR042720	447426	human oral metagenome	69d1dd27261cd83a39131ac5947189fe	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042720/DRR042720.fastq.gz	SAMD00036813
PRJDB4107	SAMD00036814	DRX038354	DRR042721	447426	human oral metagenome	9937684eccbb642910c3a298def536b7	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042721/DRR042721.fastq.gz	SAMD00036814
PRJDB4107	SAMD00036818	DRX038358	DRR042725	447426	human oral metagenome	68d59d43aebd16499745089d98516c81	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042725/DRR042725.fastq.gz	SAMD00036818
PRJDB4107	SAMD00036820	DRX038360	DRR042727	447426	human oral metagenome	46bae8a7c26e151883edac0141849bb0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042727/DRR042727.fastq.gz	SAMD00036820
PRJDB4107	SAMD00036826	DRX038366	DRR042733	447426	human oral metagenome	11cefacae2a178408a6476c3bdb8e76c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042733/DRR042733.fastq.gz	SAMD00036826
PRJDB4107	SAMD00036827	DRX038367	DRR042734	447426	human oral metagenome	497946e56d4cbcfa821cccad9fcc2d91	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042734/DRR042734.fastq.gz	SAMD00036827
PRJDB4107	SAMD00036828	DRX038368	DRR042735	447426	human oral metagenome	8098f031be845c4224dafad983e78d9e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042735/DRR042735.fastq.gz	SAMD00036828
PRJDB4107	SAMD00036832	DRX038372	DRR042739	447426	human oral metagenome	bb3e4065bec65fc5638b1cae0a7254dc	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042739/DRR042739.fastq.gz	SAMD00036832
PRJDB4107	SAMD00036833	DRX038373	DRR042740	447426	human oral metagenome	d2ca781a834099e2165f36934bf07002	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042740/DRR042740.fastq.gz	SAMD00036833
PRJDB4107	SAMD00036836	DRX038376	DRR042743	447426	human oral metagenome	59ded44cab9e2e0ffcda058c667f2a10	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042743/DRR042743.fastq.gz	SAMD00036836
PRJDB4107	SAMD00036837	DRX038377	DRR042744	447426	human oral metagenome	0c8cc77c5f29f3ddaf317bb62390cbae	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042744/DRR042744.fastq.gz	SAMD00036837
PRJDB4107	SAMD00036839	DRX038379	DRR042746	447426	human oral metagenome	888ec9623926ff75caadc90a9845033b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042746/DRR042746.fastq.gz	SAMD00036839
PRJDB4107	SAMD00036843	DRX038383	DRR042750	447426	human oral metagenome	8ade39a50848c14d50951cf23b471753	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042750/DRR042750.fastq.gz	SAMD00036843
PRJDB4107	SAMD00036845	DRX038385	DRR042752	447426	human oral metagenome	a30e8cd9b38035f5884c7b7f5b50dfd2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042752/DRR042752.fastq.gz	SAMD00036845
PRJDB4107	SAMD00036847	DRX038387	DRR042754	447426	human oral metagenome	c5159144e91e1116da8186911eee41a3	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042754/DRR042754.fastq.gz	SAMD00036847
PRJDB4107	SAMD00036848	DRX038388	DRR042755	447426	human oral metagenome	dd9ad4103b3a24cfd749ad7bf3cd1e89	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042755/DRR042755.fastq.gz	SAMD00036848
PRJDB4107	SAMD00036849	DRX038389	DRR042756	447426	human oral metagenome	855d5794b15eb3d51280d29a625641b3	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042756/DRR042756.fastq.gz	SAMD00036849
PRJDB4107	SAMD00036851	DRX038391	DRR042758	447426	human oral metagenome	1e24b5381c729de0c3fcb4879f174c38	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042758/DRR042758.fastq.gz	SAMD00036851
PRJDB4107	SAMD00036858	DRX038398	DRR042765	447426	human oral metagenome	6c2545a11a281c92c5d8f4066bb3b3fe	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042765/DRR042765.fastq.gz	SAMD00036858
PRJDB4107	SAMD00036860	DRX038400	DRR042767	447426	human oral metagenome	85addc24fd1bf59de91533884a0fd603	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042767/DRR042767.fastq.gz	SAMD00036860
PRJDB4107	SAMD00036861	DRX038401	DRR042768	447426	human oral metagenome	84d732b44f7a29447eb7ef497bcc861f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042768/DRR042768.fastq.gz	SAMD00036861
PRJDB4107	SAMD00036865	DRX038405	DRR042772	447426	human oral metagenome	74836024cc42d9db1f52f819fad8cc23	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042772/DRR042772.fastq.gz	SAMD00036865
PRJDB4107	SAMD00036867	DRX038407	DRR042774	447426	human oral metagenome	66187f1ff44e7d4b36d41182f8907a94	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042774/DRR042774.fastq.gz	SAMD00036867
PRJDB4107	SAMD00036869	DRX038409	DRR042776	447426	human oral metagenome	b0f1f4432df95fc39c84fe0ce28328d9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042776/DRR042776.fastq.gz	SAMD00036869
PRJDB4107	SAMD00036870	DRX038410	DRR042777	447426	human oral metagenome	00b45390f2df07839f152b5bc1e0ee44	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042777/DRR042777.fastq.gz	SAMD00036870
PRJDB4107	SAMD00036871	DRX038411	DRR042778	447426	human oral metagenome	ca16297189e569596acceadbb613625e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042778/DRR042778.fastq.gz	SAMD00036871
PRJDB4107	SAMD00036877	DRX038417	DRR042784	447426	human oral metagenome	f98fffc0109748f0303422ad48f6885f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042784/DRR042784.fastq.gz	SAMD00036877
PRJDB4107	SAMD00036881	DRX038421	DRR042788	447426	human oral metagenome	5e6090316beeb78bca3fab51c9cd5f95	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042788/DRR042788.fastq.gz	SAMD00036881
PRJDB4107	SAMD00036882	DRX038422	DRR042789	447426	human oral metagenome	63f02618878b5f98f6cc7ab6d6162917	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042789/DRR042789.fastq.gz	SAMD00036882
PRJDB4107	SAMD00036884	DRX038424	DRR042791	447426	human oral metagenome	aa969ada8c5d5baed4ff357072c3137e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042791/DRR042791.fastq.gz	SAMD00036884
PRJDB4107	SAMD00036894	DRX038434	DRR042801	447426	human oral metagenome	279d8f1389aaa29c53539b23ac2d4184	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042801/DRR042801.fastq.gz	SAMD00036894
PRJDB4107	SAMD00036895	DRX038435	DRR042802	447426	human oral metagenome	44cbd0929a4abb23582418637e9b0b3f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042802/DRR042802.fastq.gz	SAMD00036895
PRJDB4107	SAMD00036898	DRX038438	DRR042805	447426	human oral metagenome	2f1b1a4e5878319751ffb93be144a3af	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042805/DRR042805.fastq.gz	SAMD00036898
PRJDB4107	SAMD00036899	DRX038439	DRR042806	447426	human oral metagenome	309d5bb2e02e192d2495d48b05ec786a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042806/DRR042806.fastq.gz	SAMD00036899
PRJDB4107	SAMD00036901	DRX038441	DRR042808	447426	human oral metagenome	518fb209d35c21209eede41abe349236	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042808/DRR042808.fastq.gz	SAMD00036901
PRJDB4107	SAMD00036903	DRX038443	DRR042810	447426	human oral metagenome	24a11c0a91a27a1ef8eab62dda2e4aaf	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042810/DRR042810.fastq.gz	SAMD00036903
PRJDB4107	SAMD00036912	DRX038452	DRR042819	447426	human oral metagenome	15551df5dd3071bc2cfaa80758c99459	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042819/DRR042819.fastq.gz	SAMD00036912
PRJDB4107	SAMD00036913	DRX038453	DRR042820	447426	human oral metagenome	0f3045037ab5c784922575b2c6da9f25	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042820/DRR042820.fastq.gz	SAMD00036913
PRJDB4107	SAMD00036922	DRX038462	DRR042829	447426	human oral metagenome	e254dfacb0982629d644415b9edabb25	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042829/DRR042829.fastq.gz	SAMD00036922
PRJDB4107	SAMD00036924	DRX038464	DRR042831	447426	human oral metagenome	cd67c50e010694611a3d1a2ba08cf53e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042831/DRR042831.fastq.gz	SAMD00036924
PRJDB4107	SAMD00036925	DRX038465	DRR042832	447426	human oral metagenome	b8729689de3bcdfd3b8366d46e64d732	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042832/DRR042832.fastq.gz	SAMD00036925
PRJDB4107	SAMD00036927	DRX038467	DRR042834	447426	human oral metagenome	0029d51c6cf9778b18932f42153e7344	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042834/DRR042834.fastq.gz	SAMD00036927
PRJDB4107	SAMD00036931	DRX038471	DRR042838	447426	human oral metagenome	7d7bda5d0efac23414ae17ac4bc08157	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042838/DRR042838.fastq.gz	SAMD00036931
PRJDB4107	SAMD00036935	DRX038475	DRR042842	447426	human oral metagenome	adc98ca74a23e868b8740267d5abf13f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042842/DRR042842.fastq.gz	SAMD00036935
PRJDB4107	SAMD00036937	DRX038477	DRR042844	447426	human oral metagenome	260f27e9ef21929a0f8db81a034b3c85	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042844/DRR042844.fastq.gz	SAMD00036937
PRJDB4107	SAMD00036940	DRX038480	DRR042847	447426	human oral metagenome	c13aa69b765014c7668c247aaf2bc5b1	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042847/DRR042847.fastq.gz	SAMD00036940
PRJDB4107	SAMD00036947	DRX038487	DRR042854	447426	human oral metagenome	b57875f4432b33cb8c9af8a902fcb3c8	ftp.sra.ebi.ac.uk/vol1/fastq/DRR042/DRR042854/DRR042854.fastq.gz	SAMD00036947
