study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJDB11578	SAMD00317544	DRX277708	DRR288252	447426	human oral metagenome	917f6f3177a381c15224f6fe13c4c8b4;5d1d4e35c2d29c4aada5e28a38c3b6aa	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288252/DRR288252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288252/DRR288252_2.fastq.gz	SAMD00317544
PRJDB11578	SAMD00317545	DRX277709	DRR288253	447426	human oral metagenome	5fb55aae66eeb5fe6552e91439f4c5dc;bb66be96821959a48f5d04720a8b0cb9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288253/DRR288253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288253/DRR288253_2.fastq.gz	SAMD00317545
PRJDB11578	SAMD00317548	DRX277712	DRR288256	447426	human oral metagenome	0522d40022283a7c1297938dc440ef0d;4b6fb98ae956ee8b23cf4c5326e24f56	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288256/DRR288256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288256/DRR288256_2.fastq.gz	SAMD00317548
PRJDB11578	SAMD00317556	DRX277720	DRR288264	447426	human oral metagenome	755db04bf84c21332d8da04047cc8a7b;c67178f5237fa91ccc567d130596049d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288264/DRR288264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288264/DRR288264_2.fastq.gz	SAMD00317556
PRJDB11578	SAMD00317558	DRX277722	DRR288266	447426	human oral metagenome	8de35c2d3dcf8de64af62869ac4cc0e7;d35226b541804365539bb50cc035f8dd	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288266/DRR288266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288266/DRR288266_2.fastq.gz	SAMD00317558
PRJDB11578	SAMD00317566	DRX277730	DRR288274	447426	human oral metagenome	fa90787d1a2dc20af1400f99b0de9625;f7a5c3ae7b4bf8ff6c3644d8d3029648	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288274/DRR288274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288274/DRR288274_2.fastq.gz	SAMD00317566
PRJDB11578	SAMD00317567	DRX277731	DRR288275	447426	human oral metagenome	acd18ff2d070d643ca3039532a38d833;3e82d838830fe183e788f77a3c19f2d7	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288275/DRR288275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288275/DRR288275_2.fastq.gz	SAMD00317567
PRJDB11578	SAMD00317568	DRX277732	DRR288276	447426	human oral metagenome	edcfa659bea4a049c74a7c5ac4696e18;50a6eb1f342a0fd05137969f8be8c61a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288276/DRR288276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288276/DRR288276_2.fastq.gz	SAMD00317568
PRJDB11578	SAMD00317570	DRX277734	DRR288278	447426	human oral metagenome	40adce8fb2a137f2bd191ba90a546901;a4f808daac7482d150b472b528014bf0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288278/DRR288278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288278/DRR288278_2.fastq.gz	SAMD00317570
PRJDB11578	SAMD00317571	DRX277735	DRR288279	447426	human oral metagenome	95caaf8d561997e55093055b17598374;10a991fe99d0d823151d30e70c4c9e9c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288279/DRR288279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288279/DRR288279_2.fastq.gz	SAMD00317571
PRJDB11578	SAMD00317536	DRX277700	DRR288244	447426	human oral metagenome	2704dd657580eccb22cb96e9e2c69441;51b8b6f7cca943814addd129a397e632	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288244/DRR288244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288244/DRR288244_2.fastq.gz	SAMD00317536
PRJDB11578	SAMD00317538	DRX277702	DRR288246	447426	human oral metagenome	5da2614e8d4b16aaa9c61bfadda21a11;389354b93ef8c98049bd64eed690b711	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288246/DRR288246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288246/DRR288246_2.fastq.gz	SAMD00317538
PRJDB11578	SAMD00317542	DRX277706	DRR288250	447426	human oral metagenome	5916edabbe5424e8fe32b1c8833ba2a5;3dd9f46fd4523ef25967809dd93301cd	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288250/DRR288250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288250/DRR288250_2.fastq.gz	SAMD00317542
PRJDB11578	SAMD00317543	DRX277707	DRR288251	447426	human oral metagenome	e789dc51a09a97d84547b25a0f938051;8c7b379d8e13ce9598de3b7a52d2c46c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288251/DRR288251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288251/DRR288251_2.fastq.gz	SAMD00317543
PRJDB11578	SAMD00317546	DRX277710	DRR288254	447426	human oral metagenome	2639ce8ab375652dd62f2d6d5ec06226;12baa8b75990de1723e20aecafe9dc66	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288254/DRR288254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288254/DRR288254_2.fastq.gz	SAMD00317546
PRJDB11578	SAMD00317547	DRX277711	DRR288255	447426	human oral metagenome	f9206d8ee34d6256151428291a46bbc8;ea2e9f13024740cff2d4a2327250c011	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288255/DRR288255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288255/DRR288255_2.fastq.gz	SAMD00317547
PRJDB11578	SAMD00317549	DRX277713	DRR288257	447426	human oral metagenome	feb48481c2457f208733b3db6c05c9d8;2ccd3580e74889c80fb11fc1cc2afa72	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288257/DRR288257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288257/DRR288257_2.fastq.gz	SAMD00317549
PRJDB11578	SAMD00317551	DRX277715	DRR288259	447426	human oral metagenome	2d0633a76610716f89edae36e621e5ad;81c5e0666536ec4676a901e2249ae6ab	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288259/DRR288259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288259/DRR288259_2.fastq.gz	SAMD00317551
PRJDB11578	SAMD00317552	DRX277716	DRR288260	447426	human oral metagenome	99b46155d772ee567560661d4585bf75;0faf22dc07eed754b22e1249068ccf76	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288260/DRR288260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288260/DRR288260_2.fastq.gz	SAMD00317552
PRJDB11578	SAMD00317553	DRX277717	DRR288261	447426	human oral metagenome	80b9972f1c0a0ff42d136fcd3e553ae4;84e54b8726c4445422978ccb59dbdaf0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288261/DRR288261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288261/DRR288261_2.fastq.gz	SAMD00317553
PRJDB11578	SAMD00317554	DRX277718	DRR288262	447426	human oral metagenome	c945c6229cf9fe8c8a245cee93053ace;cc0f8eaf8ab8cd3200fa24e34e22745c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288262/DRR288262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288262/DRR288262_2.fastq.gz	SAMD00317554
PRJDB11578	SAMD00317555	DRX277719	DRR288263	447426	human oral metagenome	ca2c711b50e40e2161df92b698a5a7a6;4ca97d4aee14fd8057953f23e6c38bee	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288263/DRR288263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288263/DRR288263_2.fastq.gz	SAMD00317555
PRJDB11578	SAMD00317560	DRX277724	DRR288268	447426	human oral metagenome	3738eba981ab2d10849232adcbea9b09;7f563f2365e4c51cfecc81f365407f51	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288268/DRR288268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288268/DRR288268_2.fastq.gz	SAMD00317560
PRJDB11578	SAMD00317561	DRX277725	DRR288269	447426	human oral metagenome	53520fccc7a144125c5d3b408f14ff28;e3a61344a98d87ae7ed27a84ae102e22	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288269/DRR288269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288269/DRR288269_2.fastq.gz	SAMD00317561
PRJDB11578	SAMD00317562	DRX277726	DRR288270	447426	human oral metagenome	b2360477b82eb6eceaa500809c0a664f;c672670c2afe8368fa0fc6a119dedfff	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288270/DRR288270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288270/DRR288270_2.fastq.gz	SAMD00317562
PRJDB11578	SAMD00317563	DRX277727	DRR288271	447426	human oral metagenome	015d4e534616c6f2c70a1000f7bc8dcd;c77799cb43400b55857577e8cb6fe28b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288271/DRR288271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288271/DRR288271_2.fastq.gz	SAMD00317563
PRJDB11578	SAMD00317565	DRX277729	DRR288273	447426	human oral metagenome	4b838a41aeecda0a3703ec54ede683a6;e6271118796aef755da6b8c5d4b82abe	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288273/DRR288273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288273/DRR288273_2.fastq.gz	SAMD00317565
